STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,POLLUTANT,,MEASURE,,UNIT_MEASURE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,PRICE_BASE,,BASE_PER,,DECIMALS,,CONVERSION_TYPE,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,HRV,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,6.524332,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CYP,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,6.317472,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,KAZ,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,17.01328,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,LIE,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,4.22602,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MLT,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,4.214103,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MCO,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,1.534798,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ROU,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,5.432569,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,RUS,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,14.32121,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,SRB,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,9.169923,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,UKR,,A,,GHG,,_T,,KG_CO2E_PS,,2023,,6.171138,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUS,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,22.74916,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,AUT,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.391686,,A,,3,,,,,,2,,,
